gen,evals,F_mean,CR_mean,p,pop_size,success_rate,niche
147,6146,0.5,0.1904971706191658,0.25,12,0.0,1
148,6158,0.5,0.1904971706191658,0.25,12,0.0,1
149,6169,0.5,0.1904971706191658,0.25,11,0.0,1
150,6180,0.5,0.1904971706191658,0.25,11,0.0,1
151,6191,0.5,0.1904971706191658,0.25,11,0.0,1
152,6202,0.5,0.31735508181264,0.25,11,0.09090909090909091,1
153,6213,0.5,0.3245620835271333,0.25,11,0.09090909090909091,1
154,6224,0.5,0.3245620835271333,0.25,11,0.0,1
155,6234,0.5,0.31992397014989427,0.25,10,0.1,1
156,6244,0.5,0.33204206932554065,0.25,10,0.1,1
157,6254,0.5,0.33204206932554065,0.25,10,0.1,1
158,6264,0.5,0.33204206932554065,0.25,10,0.1,1
159,6274,0.5,0.300433969346551,0.25,10,0.1,1
160,6284,0.5,0.300433969346551,0.25,10,0.0,1
161,6294,0.5,0.30039555003169627,0.25,10,0.3,1
162,6303,0.5,0.30039555003169627,0.25,9,0.0,1
163,6312,0.5,0.22868231664726438,0.25,9,0.1111111111111111,1
164,6321,0.5,0.22868231664726438,0.25,9,0.1111111111111111,1
165,6330,0.5,0.22868231664726438,0.25,9,0.0,1
166,6339,0.5,0.22868231664726438,0.25,9,0.0,1
167,6348,0.5,0.22868231664726438,0.25,9,0.0,1
168,6357,0.5,0.22868231664726438,0.25,9,0.0,1
169,6365,0.5,0.22868231664726438,0.25,8,0.0,1
170,6373,0.5,0.22868231664726438,0.25,8,0.0,1
171,6381,0.5,0.22868231664726438,0.25,8,0.0,1
172,6389,0.5,0.22868231664726438,0.25,8,0.0,1
173,6397,0.5,0.22868231664726438,0.25,8,0.0,1
174,6405,0.5,0.22868231664726438,0.25,8,0.0,1
175,6413,0.5,0.22868231664726438,0.25,8,0.0,1
176,6421,0.5,0.22868231664726438,0.25,8,0.0,1
177,6429,0.5,0.22868231664726438,0.25,8,0.0,1
178,6436,0.5,0.22868231664726438,0.25,7,0.0,1
179,6443,0.5,0.22868231664726438,0.25,7,0.0,1
180,6450,0.5,0.22868231664726438,0.25,7,0.0,1
181,6457,0.5,0.22868231664726438,0.25,7,0.0,1
182,6464,0.5,0.22868231664726438,0.25,7,0.0,1
183,6471,0.5,0.22868231664726438,0.25,7,0.0,1
184,6478,0.5,0.22868231664726438,0.25,7,0.0,1
185,6485,0.5,0.22868231664726438,0.25,7,0.0,1
186,6492,0.5,0.22868231664726438,0.25,7,0.0,1
187,6499,0.5,0.22868231664726438,0.25,7,0.0,1
188,6505,0.5,0.22868231664726438,0.25,6,0.0,1
189,6511,0.5,0.22868231664726438,0.25,6,0.0,1
190,6517,0.5,0.22868231664726438,0.25,6,0.0,1
191,6523,0.5,0.22868231664726438,0.25,6,0.0,1
192,6529,0.5,0.22868231664726438,0.25,6,0.0,1
193,6535,0.5,0.22868231664726438,0.25,6,0.0,1
194,6541,0.5,0.22868231664726438,0.25,6,0.0,1
195,6547,0.5,0.22868231664726438,0.25,6,0.0,1
196,6553,0.5,0.22868231664726438,0.25,6,0.0,1
197,6559,0.5,0.22868231664726438,0.25,6,0.0,1
